shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6_N_501____1__IT_1,40.4199722569194,-3.69234198928124,1000001,0
6_N_501____1__IT_1,40.420902894448,-3.69193145355055,1000002,0.10901685651
6_N_501____1__IT_1,40.421413933858,-3.6917023334177,1000003,0.277998456151
6_N_501____1__IT_1,40.421736094477,-3.69153756353634,1000004,0.485375779544
6_N_501____1__IT_1,40.4226571058588,-3.69112681114808,1000005,0.800763620991
6_N_501____1__IT_1,40.4231421809854,-3.69093905017078,1000006,1.172302903441
6_N_501____1__IT_1,40.4236985993604,-3.69072367286318,1000007,1.608252184877
6_N_501____1__IT_1,40.4236985993604,-3.69072367286318,2000001,1.608252184877
6_N_501____1__IT_1,40.4245015655939,-3.69034796127789,2000002,1.702911208688
6_N_501____1__IT_1,40.4247356232389,-3.69024577503743,2000003,1.824959364954
6_N_501____1__IT_1,40.4248495739165,-3.6902036895184,2000004,1.960150594361
6_N_501____1__IT_1,40.4249357753439,-3.69016334901062,2000005,2.105503995819
6_N_501____1__IT_1,40.4249781641187,-3.6901474411998,2000006,2.255752376298
6_N_501____1__IT_1,40.4250543211289,-3.69011226966469,2000007,2.4149655014
6_N_501____1__IT_1,40.4251097982716,-3.69008065663947,2000008,2.580895365074
6_N_501____1__IT_1,40.425195968522,-3.69005338062901,2000009,2.756666281664
6_N_501____1__IT_1,40.425362118994,-3.69000681195452,2000010,2.951298759445
6_N_501____1__IT_1,40.4256054130156,-3.68997124255162,2000011,3.17310566637
6_N_501____1__IT_1,40.4257939588324,-3.68997648064523,2000012,3.415846457999
6_N_501____1__IT_1,40.4258747535142,-3.68995491509008,2000013,3.667740393655
6_N_501____1__IT_1,40.4259800195328,-3.68992880276775,2000014,3.931527292587
6_N_501____1__IT_1,40.4259800195328,-3.68992880276775,3000001,3.931527292587
6_N_501____1__IT_1,40.4261526082144,-3.68988578612461,3000002,3.951029609153
6_N_501____1__IT_1,40.4263107600807,-3.68980423798417,3000003,3.989401090561
6_N_501____1__IT_1,40.4266883965856,-3.68969529597064,3000004,4.070698015396
6_N_501____1__IT_1,40.4280850569651,-3.68934873563923,3000005,4.309791302716
6_N_501____1__IT_1,40.4286499464735,-3.68921078442274,3000006,4.61267168066
6_N_501____1__IT_1,40.428983952236,-3.68915341780745,3000007,4.952945732638
6_N_501____1__IT_1,40.4291431448865,-3.68910226289729,3000008,5.311415653961
