fecha;hora;identificador;peatones;device_id;Número_distrito;distrito;direccion;observaciones_direccion;latitude;longitude
01/01/2024 0:00;0:00;PERM_PEA01_PM01;910;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 1:00;1:00;PERM_PEA01_PM01;1539;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 2:00;2:00;PERM_PEA01_PM01;582;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 3:00;3:00;PERM_PEA01_PM01;257;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 4:00;4:00;PERM_PEA01_PM01;107;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 5:00;5:00;PERM_PEA01_PM01;190;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 6:00;6:00;PERM_PEA01_PM01;409;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 7:00;7:00;PERM_PEA01_PM01;356;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 8:00;8:00;PERM_PEA01_PM01;239;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 9:00;9:00;PERM_PEA01_PM01;302;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 10:00;10:00;PERM_PEA01_PM01;901;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 11:00;11:00;PERM_PEA01_PM01;1982;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 12:00;12:00;PERM_PEA01_PM01;2408;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 13:00;13:00;PERM_PEA01_PM01;2720;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 14:00;14:00;PERM_PEA01_PM01;2342;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 15:00;15:00;PERM_PEA01_PM01;2261;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 16:00;16:00;PERM_PEA01_PM01;2284;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 17:00;17:00;PERM_PEA01_PM01;1665;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 18:00;18:00;PERM_PEA01_PM01;1780;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 19:00;19:00;PERM_PEA01_PM01;1780;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 20:00;20:00;PERM_PEA01_PM01;2166;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 21:00;21:00;PERM_PEA01_PM01;2122;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 22:00;22:00;PERM_PEA01_PM01;1825;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
01/01/2024 23:00;23:00;PERM_PEA01_PM01;979;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 0:00;0:00;PERM_PEA01_PM01;378;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 1:00;1:00;PERM_PEA01_PM01;139;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 2:00;2:00;PERM_PEA01_PM01;28;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 3:00;3:00;PERM_PEA01_PM01;52;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 4:00;4:00;PERM_PEA01_PM01;13;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 5:00;5:00;PERM_PEA01_PM01;25;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 6:00;6:00;PERM_PEA01_PM01;51;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 7:00;7:00;PERM_PEA01_PM01;95;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 8:00;8:00;PERM_PEA01_PM01;267;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 9:00;9:00;PERM_PEA01_PM01;728;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 10:00;10:00;PERM_PEA01_PM01;1493;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 11:00;11:00;PERM_PEA01_PM01;2288;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 12:00;12:00;PERM_PEA01_PM01;2602;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
02/01/2024 13:00;13:00;PERM_PEA01_PM01;2475;PERM_PEA01_PM01;1;Centro;Calle Arenal esquina San Martín;Calle peatonal;40.417.386;-3.707.141
