num_expediente,fecha,hora,localizacion,cod_distrito,distrito,tipo_accidente,estado_meteorológico,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,peaton_involucrado,vehiculos_involucrados,lesividad,nivel_lesividad
2025S088218,2025-08-01,09:45:00,AUTOV. M-30,15,CIUDAD LINEAL,Caída,Despejado,443333,4479891,false,false,false,Motocicleta hasta 125cc,Asistencia sanitaria sólo en el lugar del accidente,3
2025S088230,2025-08-01,09:55:00,CALL. CARTAGENA / AVDA. AMERICA,5,CHAMARTÍN,Atropello a persona,Despejado,442878,4476731,false,false,true,Turismo,Sin asistencia sanitaria,1
2025S088235,2025-08-01,08:25:00,AVDA. CAMPO DE CALATRAVA / RONDA. CABALLERO DE LA MANCHA,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,441389,4483549,false,false,false,"Maquinaria de obras, Turismo",Desconocido,5
2025S088237,2025-08-01,08:10:00,CALL. SAN VICENTE FERRER / CALL. ACUERDO,1,CENTRO,Colisión fronto-lateral,Despejado,439912,4475306,false,false,false,"Motocicleta hasta 125cc, Turismo",Desconocido,1
2025S088243,2025-08-01,07:50:00,AUTOV. M-30,8,FUENCARRAL-EL PARDO,Choque contra obstáculo fijo,Despejado,442640,4481721,false,false,false,Motocicleta > 125cc,Asistencia sanitaria sólo en el lugar del accidente,3
2025S088244,2025-08-01,08:40:00,CALL. PEDRO HEREDIA,4,SALAMANCA,Colisión lateral,Despejado,443843,4475706,true,false,false,"Camión rígido, Turismo",Sin asistencia sanitaria,1
2025S088245,2025-08-01,09:38:00,CALL. MAURICIO LEGENDRE,5,CHAMARTÍN,Colisión lateral,,441836,4480291,false,false,false,"Bicicleta, Turismo",Desconocido,5
2025S088246,2025-08-01,11:20:00,CALL. SORBE,11,CARABANCHEL,Colisión frontal,Despejado,439367,4471294,false,false,false,"Furgoneta, Turismo",Sin asistencia sanitaria,1
2025S088247,2025-08-01,10:55:00,CALL. SAN ANDRES,1,CENTRO,Choque contra obstáculo fijo,Despejado,440338,4475580,false,false,false,Camión rígido,Desconocido,5
2025S088259,2025-08-01,12:50:00,AVDA. CARABANCHEL ALTO,11,CARABANCHEL,Atropello a persona,Despejado,436043,4468688,false,false,true,Turismo,Sin asistencia sanitaria,1
2025S088260,2025-08-01,12:50:00,CALL. MELENDEZ VALDES / CALL. GAZTAMBIDE,7,CHAMBERÍ,Atropello a persona,Despejado,439308,4476075,false,false,true,Camión rígido,Sin asistencia sanitaria,1
2025S088261,2025-08-01,12:56:00,AUTOV. M-30,2,ARGANZUELA,Caída,Despejado,442243,4471072,false,false,false,"Camión rígido, Motocicleta hasta 125cc",Sin asistencia sanitaria,1
2025S088263,2025-08-01,10:19:00,AVDA. PABLO IGLESIAS,6,TETUÁN,Choque contra obstáculo fijo,Despejado,439682,4478148,false,false,false,Turismo,Desconocido,5
2025S088264,2025-08-01,11:15:00,CALL. ALCALA,4,SALAMANCA,Alcance,,442675,4475119,false,false,false,Turismo,Desconocido,5
